stu_tch,sc_spirt,tch_good,tch_intr,tch_prai,stu_dwn,not_safe,disr_lrn,gangs,rac_fght,sch_rule,pun_same,strict,pun_rule,female,stu_race,eng_natv
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,3,4,3,3,3,2,2,2,3,3,3,4,2,5,0
3,3,4,3,3,4,4,4,1,4,2,NA,2,1,2,2,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2,3,3,3,4,3,3,2,3,2,3,3,3,1,5,1
3,2,2,2,1,3,3,2,2,3,1,4,1,2,1,4,0
3,3,4,2,2,3,2,3,2,1,4,4,2,3,2,4,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,3,3,3,4,4,3,2,3,3,3,2,2,2,5,1
3,3,4,4,3,3,4,4,4,4,4,4,4,4,1,2,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
