0.352078	101101	1	1	2	2	2	3	71.05	0	0	1	1	1	1	1	1	1	1
0.379432	101102	1	1	2	2	2	3	68.89	0	1	1	1	1	1	1	1	1	1
0.926935	101103	1	1	1	3	4	3	.	1	0	1	1	1	0	1	1	0	0
0.063793	101104	1	1	1	2	2	1	71	0	0	1	.	1	0	0	0	0	0
0.68999	101105	1	1	1	2	4	3	.	1	1	1	1	1	1	0	0	1	0
0.4016	101106	1	1	1	2	2	3	59.3	1	0	1	1	1	1	1	1	1	0
0.596092	101107	1	1	1	2	2	4	.	1	1	1	1	1	1	0	1	1	0
0.791107	101108	1	1	1	4	5	4	66.62	1	1	1	0	1	1	1	1	1	0
0.009136	101109	1	1	2	2	2	3	.	1	1	1	1	0	0	0	1	1	1
0.827511	101110	1	1	2	3	4	3	80.2	.	.	.	.	.	.	.	.	.	1
0.990555	101111	1	1	1	3	2	3	60.2	1	1	0	1	1	1	0	1	1	0
0.891393	101112	1	1	1	3	2	3	63.59	1	1	1	1	1	1	1	1	1	0
0.994242	101113	1	1	1	2	1	3	63.82	0	0	0	0	0	0	0	1	0	0
0.661999	101114	1	1	1	2	3	3	56.01	1	1	1	1	1	0	1	1	0	0
0.813446	101115	1	1	1	2	3	3	.	0	0	0	0	0	0	0	0	0	0
0.2428	101116	1	1	1	2	1	1	64.2	0	0	0	0	1	1	1	1	1	0
0.699436	101117	1	1	1	2	2	.	.	0	0	0	1	0	0	0	1	1	0
0.838338	101118	1	1	2	3	2	3	.	1	1	1	1	1	1	1	1	1	1
0.686582	101119	1	1	2	1	1	3	59.84	1	1	1	1	1	1	1	1	1	1
0.017971	101120	1	1	2	2	2	2	79.18	1	1	1	1	0	1	0	1	1	1
0.947138	101121	1	1	2	2	2	3	55.87	1	1	1	1	1	1	1	1	1	1
0.067968	101122	1	1	1	2	2	2	66.97	1	1	1	1	1	1	1	0	1	0
0.917107	101123	1	1	1	2	2	3	47.17	1	1	1	0	1	0	0	0	1	0
0.26114	101124	1	1	1	2	2	3	56.88	0	0	1	1	1	1	1	1	1	0
0.552837	101125	1	1	1	1	4	1	46.53	1	1	0	1	1	1	0	1	1	0
0.684535	101126	1	1	2	2	2	3	54.62	1	1	1	1	1	1	1	0	1	1
0.642773	101127	1	1	2	1	2	3	57.14	1	1	1	1	1	1	1	0	1	1
0.059375	101128	1	1	1	5	2	1	59.09	.	.	.	.	.	.	.	.	.	0
0.428557	101129	1	1	1	2	5	3	42.69	1	0	1	0	0	0	1	1	1	0
0.121737	101130	1	1	1	2	1	3	64.58	1	1	1	1	1	1	1	1	1	0
0.951926	101131	1	1	2	2	.	3	41.55	0	0	1	1	1	0	0	0	0	1
0.637642	101132	1	1	2	2	2	3	.	1	1	1	1	1	1	1	1	1	1
0.89435	101133	1	1	2	2	2	3	.	1	1	1	1	0	0	1	1	0	1
0.247508	101134	1	1	1	1	5	3	53.38	0	1	0	1	0	1	0	0	1	0
0.595453	101135	1	1	1	2	4	2	.	.	.	.	.	.	.	.	.	.	0
0.180068	101137	1	1	2	2	1	3	54.76	0	0	1	1	1	0	1	.	1	1
0.171499	101138	1	1	2	2	2	3	57.39	.	.	.	.	.	.	.	.	.	1
0.14579	101139	1	1	2	.	1	2	47.33	.	.	.	.	.	.	.	.	.	1
0.634972	101140	1	1	1	2	.	2	55.78	1	1	1	1	1	1	0	1	1	0
0.430137	101141	1	1	1	3	4	5	.	1	1	1	1	1	1	1	0	1	0
0.658309	101142	1	1	2	2	1	3	.	.	.	.	.	.	.	.	.	.	1
0.501853	101143	1	1	2	2	1	3	44.57	1	1	1	1	1	1	0	1	0	1
0.873548	101144	1	1	2	2	1	3	36.1	1	1	1	1	1	1	0	1	1	1
0.835937	101145	1	1	1	2	4	3	49.24	1	1	1	0	0	1	1	1	1	0
0.514823	101146	1	1	2	2	2	.	57.7	.	.	.	.	.	.	.	.	.	1
0.779692	101147	1	1	2	2	3	2	.	1	1	1	1	1	0	0	1	1	1
0.984205	101148	1	1	2	1	1	3	46.37	1	1	1	1	1	1	0	1	1	1
0.277555	101149	1	1	1	5	2	3	49.26	1	1	1	1	1	1	0	1	1	0
0.695351	101150	1	1	2	2	5	3	.	.	.	.	.	.	.	.	.	.	1
0.51292	101152	1	1	2	.	.	3	.	1	1	1	1	1	1	0	1	1	1
0.795853	101153	1	1	2	2	.	3	43.03	0	1	0	1	1	0	0	1	1	1
0.875763	101156	1	1	1	1	2	3	.	.	.	.	.	.	.	.	.	.	0
0.70963	101158	1	1	2	2	.	3	.	.	.	.	.	.	.	.	.	.	1
0.065287	101159	1	1	2	1	.	.	.	.	.	.	.	.	.	.	.	.	1
0.389874	101160	1	1	2	1	2	3	.	1	1	0	1	1	1	1	0	0	1
0.509789	101161	1	1	1	5	5	3	71.11	1	0	1	1	1	0	1	1	1	0
0.703418	101181	1	1	2	2	2	3	52.19	0	0	0	0	0	1	1	1	1	1
0.465058	101185	1	1	2	1	2	.	43.03	.	.	.	.	.	.	.	.	.	1
0.270489	101186	1	1	1	2	2	3	.	.	.	.	.	.	.	.	.	.	0
0.05552	101187	1	1	2	.	.	3	54.13	.	.	.	.	.	.	.	.	.	1
0.458819	101188	1	1	2	2	1	3	.	.	.	.	.	.	.	.	.	.	1
0.474956	102102	2	1	2	2	5	2	.	1	1	1	0	0	1	1	.	1	1
0.199761	102103	2	1	2	2	2	2	.	0	0	0	0	0	0	1	1	1	1
0.634453	102104	2	1	1	1	1	3	51.18	.	.	.	.	.	.	.	.	.	0
