     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000    49.260     0.000     0.001     0.918     0.000     0.006     0.075     2.000
     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000   999.000     1.000     0.001     0.918     0.000     0.006     0.075     2.000
     0.000     1.000     0.000     1.000     1.000     0.000     0.000     1.000     1.000    43.030     1.000     0.205     0.039     0.028     0.001     0.726     5.000
     1.000     1.000     0.000     1.000     1.000     1.000     1.000     0.000     0.000   999.000     1.000     0.018     0.068     0.003     0.004     0.907     5.000
     1.000     0.000     1.000     1.000     1.000     0.000     1.000     1.000     1.000    71.110     0.000     0.089     0.591     0.000     0.013     0.306     2.000
     0.000     0.000     0.000     0.000     0.000     1.000     1.000     1.000     1.000    52.190     1.000     0.992     0.000     0.000     0.007     0.000     1.000
     1.000     1.000     1.000     0.000     0.000     1.000     1.000   999.000     1.000   999.000     1.000     0.005     0.026     0.000     0.962     0.008     4.000
     0.000     0.000     0.000     0.000     0.000     0.000     1.000     1.000     1.000   999.000     1.000     0.988     0.000     0.007     0.004     0.001     1.000
     0.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000    48.000     0.000     0.015     0.956     0.000     0.004     0.025     2.000
     0.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000    40.280     1.000     0.099     0.000     0.899     0.000     0.002     3.000
     0.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000   999.000     1.000     0.721     0.086     0.002     0.001     0.190     1.000
     0.000     0.000     1.000     1.000     1.000     0.000     0.000     0.000     1.000    51.630     0.000     0.124     0.002     0.203     0.000     0.671     5.000
     0.000     1.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000    36.560     1.000     0.004     0.000     0.922     0.000     0.074     3.000
     0.000     0.000     0.000     0.000     1.000     1.000     1.000     1.000     1.000    44.120     0.000     0.996     0.002     0.000     0.001     0.001     1.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000   999.000     0.000     0.000     0.986     0.000     0.006     0.008     2.000
     1.000     1.000     0.000     1.000     0.000     1.000     0.000     1.000     0.000    34.690     1.000     0.078     0.015     0.016     0.074     0.817     5.000
     0.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000    56.130     0.000     0.045     0.504     0.000     0.004     0.447     2.000
     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000   999.000     0.000     0.001     0.918     0.000     0.006     0.075     2.000
     1.000     1.000     1.000     0.000     0.000     1.000     1.000     1.000     1.000    71.460     1.000     0.004     0.027     0.000     0.964     0.004     4.000
     0.000     0.000     0.000     0.000     1.000     1.000     0.000     1.000     1.000    42.400     1.000     0.992     0.001     0.004     0.000     0.003     1.000
     0.000     0.000     1.000     0.000     1.000     0.000     0.000     1.000     1.000   999.000     1.000     0.797     0.003     0.046     0.002     0.151     1.000
     1.000     1.000     1.000     0.000     0.000     1.000     1.000     1.000     1.000   999.000     0.000     0.004     0.027     0.000     0.964     0.004     4.000
     1.000     0.000     0.000   999.000     1.000     1.000     1.000     1.000     1.000    36.610     0.000     0.720     0.225     0.000     0.041     0.014     1.000
     1.000     0.000     1.000     0.000     1.000     0.000     1.000     0.000     0.000   999.000     1.000     0.047     0.001     0.106     0.004     0.842     5.000
     1.000     1.000     1.000     0.000     1.000     1.000     1.000     1.000     1.000    42.740     1.000     0.005     0.788     0.000     0.191     0.017     2.000
     1.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000     1.000    39.460     1.000     0.001     0.819     0.000     0.009     0.170     2.000
     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000   999.000     0.000     0.001     0.918     0.000     0.006     0.075     2.000
     0.000     0.000     1.000     0.000     1.000     1.000     1.000     1.000     1.000   999.000     1.000     0.935     0.043     0.000     0.014     0.008     1.000
   999.000     1.000     1.000     0.000     0.000     1.000     1.000     1.000     1.000    32.930     0.000     0.021     0.027     0.000     0.946     0.006     4.000
     1.000     1.000     1.000     0.000     1.000     1.000     1.000     1.000     1.000   999.000     0.000     0.005     0.788     0.000     0.191     0.017     2.000
     1.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000    46.690     0.000     0.035     0.936     0.000     0.010     0.019     2.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000   999.000     1.000     0.000     0.986     0.000     0.006     0.008     2.000
     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000    77.240     0.000     0.001     0.918     0.000     0.006     0.075     2.000
     1.000     1.000     1.000     0.000     0.000     1.000     1.000     1.000     1.000   999.000     1.000     0.004     0.027     0.000     0.964     0.004     4.000
     1.000     1.000     1.000     0.000     1.000     0.000     0.000     1.000     1.000    37.960     1.000     0.010     0.137     0.001     0.068     0.784     5.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000   999.000     1.000     0.000     0.986     0.000     0.006     0.008     2.000
     1.000     1.000     1.000     0.000     0.000   999.000     0.000     0.000     0.000   999.000     1.000     0.004     0.000     0.102     0.049     0.845     5.000
     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000    45.300     1.000     0.001     0.918     0.000     0.006     0.075     2.000
     0.000     0.000     0.000     1.000     1.000     0.000     0.000     0.000     0.000   999.000     1.000     0.007     0.000     0.974     0.000     0.019     3.000
     1.000     1.000     1.000     1.000     0.000     1.000     1.000     1.000     1.000    68.600     0.000     0.005     0.516     0.000     0.447     0.031     2.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    38.030     1.000     0.004     0.000     0.996     0.000     0.001     3.000
     0.000     1.000     0.000     0.000     0.000     1.000     1.000     1.000     0.000    44.420     1.000     0.839     0.001     0.011     0.110     0.038     1.000
     0.000     0.000     0.000     1.000     0.000     1.000     1.000     1.000     0.000    46.260     0.000     0.984     0.000     0.008     0.001     0.007     1.000
     1.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000    43.740     1.000     0.035     0.936     0.000     0.010     0.019     2.000
     1.000     0.000     1.000     0.000     0.000     1.000     0.000     1.000     1.000   999.000     1.000     0.359     0.008     0.001     0.596     0.035     4.000
     0.000     1.000     1.000     0.000     1.000     0.000     0.000     1.000     0.000   999.000     1.000     0.022     0.001     0.068     0.001     0.908     5.000
     0.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     1.000   999.000     1.000     0.810     0.000     0.186     0.001     0.003     1.000
     1.000     1.000     1.000     0.000     0.000     1.000     1.000     1.000     1.000   999.000     1.000     0.004     0.027     0.000     0.964     0.004     4.000
     0.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000   999.000     1.000     0.099     0.000     0.899     0.000     0.002     3.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000    70.170     1.000     0.000     0.986     0.000     0.006     0.008     2.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    53.950     1.000     0.004     0.000     0.996     0.000     0.001     3.000
     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000   999.000     1.000     0.050     0.000     0.321     0.094     0.535     5.000
     1.000     0.000     1.000     0.000     0.000     1.000     0.000     1.000     1.000    45.320     1.000     0.359     0.008     0.001     0.596     0.035     4.000
     1.000     1.000     1.000     0.000     0.000     1.000     1.000     1.000     1.000   999.000     1.000     0.004     0.027     0.000     0.964     0.004     4.000
     1.000     0.000     0.000     1.000     0.000     1.000     1.000     1.000     1.000   999.000     0.000     0.837     0.029     0.000     0.122     0.011     1.000
     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000   999.000     1.000     0.005     0.000     0.992     0.000     0.004     3.000
     0.000     0.000     1.000     0.000     0.000     1.000     1.000     1.000     1.000    56.550     1.000     0.918     0.002     0.000     0.078     0.002     1.000
     1.000     1.000     1.000     0.000     1.000     1.000     1.000     1.000     0.000   999.000     1.000     0.016     0.443     0.000     0.221     0.320     2.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000    56.160     1.000     0.000     0.986     0.000     0.006     0.008     2.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000    62.910     1.000     0.000     0.986     0.000     0.006     0.008     2.000
     0.000     0.000     0.000     1.000     1.000     1.000     0.000     1.000     1.000    45.000     0.000     0.974     0.008     0.003     0.000     0.014     1.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000   999.000     1.000     0.000     0.986     0.000     0.006     0.008     2.000
     0.000     0.000     0.000     1.000     1.000     0.000     0.000     0.000     0.000   999.000     0.000     0.007     0.000     0.974     0.000     0.019     3.000
